815 2512
663 274 72
143 287 953
431 148 469
557 311 366
428 390 150
746 27 519
84 399 383
243 493 389
687 646 38
365 32 901
456 230 158
273 388 145
88 157 717
83 676 12
329 272 15
458 388 539
260 596 295
811 651 855
773 725 993
226 268 895
694 155 795
367 744 829
9 356 509
337 675 959
732 165 201
195 361 17
312 235 375
685 22 834
774 377 448
483 125 626
531 270 553
410 36 441
479 490 997
428 332 563
589 593 427
60 424 311
649 130 65
637 228 327
40 454 711
507 43 257
495 140 742
89 18 598
86 124 919
800 562 873
508 273 315
738 346 554
424 808 994
165 568 482
736 644 273
241 77 611
346 179 89
261 541 519
467 442 959
138 789 702
125 128 39
39 88 697
533 109 61
589 67 25
117 50 746
263 667 737
156 596 389
331 430 636
474 158 872
348 7 655
188 806 48
391 72 54
602 178 387
352 232 691
160 394 656
693 477 303
448 336 915
752 404 126
133 89 671
27 266 593
259 285 106
709 486 248
793 473 927
806 804 96
146 606 294
719 141 343
209 515 720
289 646 381
357 575 149
222 307 759
680 587 873
529 515 157
647 50 396
155 148 460
644 249 402
84 445 313
638 225 90
799 714 4
380 571 141
277 796 543
706 571 615
610 317 6
190 778 796
427 318 159
236 188 855
808 670 699
547 586 318
642 685 832
165 9 381
411 759 46
87 697 78
317 654 331
212 748 388
181 776 369
59 330 847
281 230 639
579 622 272
49 808 702
523 29 376
614 630 760
403 316 356
307 624 187
181 83 561
246 667 233
141 73 577
631 404 155
469 321 447
641 360 522
514 425 305
785 230 463
769 174 80
305 603 74
603 78 919
408 726 259
289 483 643
743 722 423
756 710 545
274 150 144
223 767 871
552 409 532
502 634 261
23 621 560
365 398 107
6 151 363
610 116 122
813 620 412
639 417 101
779 377 557
150 99 653
699 17 868
378 726 256
647 164 851
43 254 127
115 763 478
440 608 672
563 560 134
383 544 163
301 112 114
535 538 206
384 550 601
707 90 179
793 803 14
753 144 898
642 259 723
541 723 621
337 141 635
93 464 219
444 133 905
444 195 488
185 106 785
138 753 225
456 417 842
155 772 93
567 58 512
501 170 569
403 524 166
674 317 189
369 421 253
77 587 216
505 125 196
562 491 100
667 59 182
688 131 933
76 544 502
216 153 227
689 357 810
160 263 946
422 425 750
382 678 654
81 68 618
344 367 5
185 225 312
76 537 519
520 114 361
553 276 761
665 597 750
548 270 523
281 190 764
508 353 571
155 516 226
569 67 711
468 155 401
668 86 620
673 709 14
5 631 325
588 339 518
46 36 161
68 447 522
708 573 432
631 169 844
278 464 329
617 117 664
468 478 442
110 350 650
402 236 985
417 612 220
97 475 6
530 85 523
78 748 153
724 731 579
519 420 577
387 14 199
559 224 959
125 102 454
137 244 58
190 83 943
713 346 323
555 546 803
260 787 298
634 425 45
640 712 479
34 547 751
537 467 585
330 671 995
173 717 43
223 641 852
102 667 52
537 737 642
735 464 574
647 800 333
631 221 235
502 654 970
660 79 64
767 132 966
778 237 177
377 789 822
438 225 226
31 640 811
525 759 430
347 177 562
286 676 582
314 729 153
706 425 947
805 748 992
757 427 357
790 521 614
745 28 181
390 29 529
774 114 159
193 659 312
265 744 540
540 776 670
623 299 454
658 136 407
533 515 905
687 329 91
722 656 682
563 445 504
127 201 842
381 778 539
348 58 398
84 107 866
399 565 934
86 691 658
379 407 790
42 399 538
60 660 231
550 658 281
204 434 824
301 151 605
199 115 892
28 781 927
747 173 854
444 475 900
796 256 805
272 64 196
361 93 249
63 458 149
463 691 695
635 586 92
267 351 816
662 88 302
433 757 448
648 76 172
543 763 844
159 559 374
597 320 166
523 43 303
104 237 191
571 224 370
39 304 189
462 750 163
33 94 240
643 31 854
267 51 502
584 218 378
16 644 317
66 626 57
725 696 462
653 531 140
658 380 301
400 496 221
690 672 89
730 602 123
292 615 887
610 555 517
786 724 691
709 118 135
19 767 728
239 421 913
622 222 772
807 469 593
590 529 602
237 69 970
31 460 938
629 120 30
378 504 142
269 562 212
651 770 437
103 648 434
591 471 324
524 646 451
72 303 801
661 499 982
113 759 312
400 85 803
212 209 274
588 328 408
713 448 651
565 43 556
526 780 824
531 438 725
60 466 940
208 690 50
2 282 385
741 101 664
157 425 25
645 83 991
750 148 447
168 11 642
616 646 407
106 797 575
34 546 391
71 369 1000
163 579 203
661 812 444
311 633 328
203 226 392
623 677 223
392 651 31
453 497 22
742 522 269
435 65 166
318 511 402
721 15 357
42 186 454
330 360 761
312 253 174
691 225 305
398 216 645
318 513 793
163 220 590
753 541 943
565 182 979
570 486 69
328 660 225
62 456 934
532 395 807
236 744 991
727 700 666
701 492 351
627 724 941
142 518 736
268 586 342
763 500 209
788 429 262
618 548 596
649 39 921
47 602 899
396 157 496
125 208 840
135 343 105
445 453 894
419 92 9
716 190 107
660 533 584
750 396 546
228 295 582
372 629 114
91 256 753
661 98 529
16 698 112
346 21 982
208 147 79
726 678 920
600 748 993
617 629 541
341 229 722
642 383 978
380 749 174
302 296 279
245 200 367
268 258 482
460 455 417
268 60 333
706 292 935
98 69 299
202 132 318
586 504 733
689 652 122
163 307 905
192 665 847
470 532 971
220 349 556
50 353 301
639 454 592
617 473 621
314 417 810
317 490 588
625 60 797
43 29 91
278 167 781
643 330 226
438 800 38
176 30 14
604 445 370
32 4 315
26 582 718
64 112 712
585 227 468
319 397 638
535 455 826
232 803 403
346 531 91
461 439 282
773 669 386
101 461 192
126 200 862
93 620 284
451 61 872
212 305 235
185 425 607
58 33 107
379 367 887
402 290 556
652 720 543
738 368 964
11 780 211
515 311 326
223 149 497
594 346 267
110 40 530
663 524 201
698 340 799
546 153 47
648 687 646
241 267 128
31 226 523
103 148 869
508 377 627
338 533 127
690 445 138
493 257 564
746 494 23
124 3 217
665 313 951
324 312 115
23 532 923
352 766 19
764 787 327
480 552 823
56 460 221
380 323 483
410 279 926
777 761 451
82 63 269
164 722 34
595 741 199
168 405 808
467 522 73
162 638 894
51 129 498
148 160 298
72 455 83
609 778 956
657 279 673
378 169 79
327 367 887
748 275 19
423 406 360
608 306 414
76 317 716
99 324 782
178 762 968
666 808 118
519 600 358
747 526 374
408 61 875
485 18 865
454 586 723
361 3 782
535 580 259
228 366 27
363 683 705
678 695 349
325 794 353
18 231 561
590 172 70
308 151 467
16 240 218
612 485 161
508 502 436
556 666 736
35 487 84
551 216 572
669 250 635
690 613 807
38 498 837
546 366 774
241 198 400
300 724 879
361 483 738
787 86 57
38 220 491
214 810 725
304 448 888
250 800 579
3 12 961
382 548 446
36 726 899
399 440 944
148 362 87
602 248 642
754 271 742
608 700 318
648 527 965
212 235 508
165 497 498
717 204 695
271 52 657
543 342 964
727 555 14
655 517 774
627 385 810
521 391 703
589 448 349
318 658 293
795 37 538
381 456 267
576 135 737
536 638 635
435 341 305
111 183 112
709 274 529
652 295 217
681 253 869
813 156 93
215 576 791
75 791 813
736 388 412
21 520 538
623 59 479
74 178 996
728 354 884
383 502 737
319 86 42
184 636 114
786 565 925
603 427 740
677 364 565
486 610 693
510 103 755
760 121 333
607 200 272
699 377 853
664 7 951
258 209 630
91 337 442
586 651 123
777 10 594
414 464 311
771 120 432
165 260 573
335 329 350
102 170 12
89 665 413
716 760 35
682 97 152
386 293 271
470 553 570
134 393 957
796 126 268
628 679 736
105 645 204
408 324 772
103 310 414
568 469 747
3 765 363
477 22 278
575 481 665
701 812 995
280 736 980
734 247 70
789 186 347
64 312 43
375 468 103
360 238 939
259 85 711
524 10 775
704 678 744
525 232 860
343 602 183
70 350 993
450 471 589
371 636 454
471 151 561
291 522 863
349 182 341
93 810 23
498 201 919
285 615 257
500 627 550
455 810 858
292 662 475
28 332 87
513 106 854
459 330 965
615 714 912
681 257 44
3 83 53
736 123 424
670 623 946
96 26 761
106 15 476
723 66 231
363 324 316
445 471 857
756 746 584
531 489 980
389 453 91
605 271 455
276 110 793
731 208 748
150 758 837
228 276 539
161 271 628
176 802 356
494 411 671
799 21 275
10 38 71
72 599 880
639 376 174
87 433 255
260 597 955
117 467 765
86 109 428
680 289 383
321 582 177
615 599 509
590 272 519
250 421 166
535 399 346
398 491 711
363 659 837
516 99 759
595 193 647
146 135 517
680 390 225
631 264 931
648 473 828
730 344 318
68 491 260
348 813 622
161 269 365
